season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2016-17,SAS,MEM,112.8,111.6,109.9,119.2,93.72,86.25,1
2016-17,BOS,CHI,110.4,113.5,103.6,110.5,94.76,93.33,1
2016-17,WAS,ATL,110.2,110.5,107.3,107.7,97.18,98.67,1
2016-17,MIL,TOR,103.3,103.7,104.2,110.1,90.33,92.9,0
2016-17,MEM,SAS,109.9,119.2,112.8,111.6,86.25,93.72,0
2016-17,ATL,WAS,107.3,107.7,110.2,110.5,98.67,97.18,0
2016-17,CHI,BOS,103.6,110.5,110.4,113.5,93.33,94.76,0
2016-17,UTA,LAC,105.2,110.4,107.9,109.0,92.95,90.64,0
2016-17,BOS,WAS,110.4,113.5,110.2,110.5,94.76,97.18,1
2016-17,LAC,UTA,107.9,109.0,105.2,110.4,90.64,92.95,0
2016-17,CLE,TOR,119.9,111.8,104.2,110.1,96.89,92.9,1
2016-17,SAS,HOU,112.8,111.6,110.1,108.9,93.72,96.9,0
2016-17,BOS,WAS,110.4,113.5,110.2,110.5,94.76,97.18,1
2016-17,GSW,UTA,118.2,105.3,105.2,110.4,100.68,92.95,1
2016-17,CLE,TOR,119.9,111.8,104.2,110.1,96.89,92.9,1
2016-17,SAS,HOU,112.8,111.6,110.1,108.9,93.72,96.9,1
2016-17,GSW,UTA,118.2,105.3,105.2,110.4,100.68,92.95,1
2016-17,WAS,BOS,110.2,110.5,110.4,113.5,97.18,94.76,1
2016-17,HOU,SAS,110.1,108.9,112.8,111.6,96.9,93.72,0
2016-17,TOR,CLE,104.2,110.1,119.9,111.8,92.9,96.89,0
2016-17,UTA,GSW,105.2,110.4,118.2,105.3,92.95,100.68,0
2016-17,HOU,SAS,110.1,108.9,112.8,111.6,96.9,93.72,1
2016-17,TOR,CLE,104.2,110.1,119.9,111.8,92.9,96.89,0
2016-17,WAS,BOS,110.2,110.5,110.4,113.5,97.18,94.76,1
2016-17,UTA,GSW,105.2,110.4,118.2,105.3,92.95,100.68,0
2016-17,SAS,HOU,112.8,111.6,110.1,108.9,93.72,96.9,1
2016-17,BOS,WAS,110.4,113.5,110.2,110.5,94.76,97.18,1
2016-17,HOU,SAS,110.1,108.9,112.8,111.6,96.9,93.72,0
2016-17,WAS,BOS,110.2,110.5,110.4,113.5,97.18,94.76,1
2016-17,GSW,SAS,118.2,105.3,112.8,111.6,100.68,93.72,1
2016-17,BOS,WAS,110.4,113.5,110.2,110.5,94.76,97.18,1
2016-17,GSW,SAS,118.2,105.3,112.8,111.6,100.68,93.72,1
2016-17,BOS,CLE,110.4,113.5,119.9,111.8,94.76,96.89,0
2016-17,BOS,CLE,110.4,113.5,119.9,111.8,94.76,96.89,0
2016-17,SAS,GSW,112.8,111.6,118.2,105.3,93.72,100.68,0
2016-17,CLE,BOS,119.9,111.8,110.4,113.5,96.89,94.76,0
2016-17,SAS,GSW,112.8,111.6,118.2,105.3,93.72,100.68,0
2016-17,CLE,BOS,119.9,111.8,110.4,113.5,96.89,94.76,1
2016-17,BOS,CLE,110.4,113.5,119.9,111.8,94.76,96.89,0
2016-17,GSW,CLE,118.2,105.3,119.9,111.8,100.68,96.89,1
2016-17,GSW,CLE,118.2,105.3,119.9,111.8,100.68,96.89,1
2016-17,CLE,GSW,119.9,111.8,118.2,105.3,96.89,100.68,0
2016-17,CLE,GSW,119.9,111.8,118.2,105.3,96.89,100.68,1
2016-17,GSW,CLE,118.2,105.3,119.9,111.8,100.68,96.89,1
2017-18,GSW,SAS,112.7,102.0,102.1,111.9,97.73,94.6,1
2017-18,PHI,MIA,108.9,105.0,101.8,112.2,98.87,101.7,1
2017-18,POR,NOP,105.5,113.9,105.5,107.0,100.25,103.89,0
2017-18,TOR,WAS,111.4,116.4,109.7,110.8,95.16,98.08,1
2017-18,BOS,MIL,107.1,106.2,108.7,108.8,93.74,92.55,1
2017-18,CLE,IND,108.3,111.1,110.3,103.4,92.13,91.43,0
2017-18,HOU,MIN,108.5,107.0,106.9,116.0,96.56,95.1,1
2017-18,OKC,UTA,102.9,106.9,104.3,106.1,98.5,98.36,1
2017-18,GSW,SAS,112.7,102.0,102.1,111.9,97.73,94.6,1
2017-18,PHI,MIA,108.9,105.0,101.8,112.2,98.87,101.7,0
2017-18,BOS,MIL,107.1,106.2,108.7,108.8,93.74,92.55,1
2017-18,POR,NOP,105.5,113.9,105.5,107.0,100.25,103.89,0
2017-18,TOR,WAS,111.4,116.4,109.7,110.8,95.16,98.08,1
2017-18,CLE,IND,108.3,111.1,110.3,103.4,92.13,91.43,1
2017-18,HOU,MIN,108.5,107.0,106.9,116.0,96.56,95.1,1
2017-18,OKC,UTA,102.9,106.9,104.3,106.1,98.5,98.36,0
2017-18,NOP,POR,105.5,107.0,105.5,113.9,103.89,100.25,1
2017-18,MIA,PHI,101.8,112.2,108.9,105.0,101.7,98.87,0
2017-18,SAS,GSW,102.1,111.9,112.7,102.0,94.6,97.73,0
2017-18,MIL,BOS,108.7,108.8,107.1,106.2,92.55,93.74,1
2017-18,IND,CLE,110.3,103.4,108.3,111.1,91.43,92.13,1
2017-18,WAS,TOR,109.7,110.8,111.4,116.4,98.08,95.16,1
2017-18,NOP,POR,105.5,107.0,105.5,113.9,103.89,100.25,1
2017-18,MIA,PHI,101.8,112.2,108.9,105.0,101.7,98.87,0
2017-18,MIN,HOU,106.9,116.0,108.5,107.0,95.1,96.56,1
2017-18,UTA,OKC,104.3,106.1,102.9,106.9,98.36,98.5,1
2017-18,MIL,BOS,108.7,108.8,107.1,106.2,92.55,93.74,1
2017-18,IND,CLE,110.3,103.4,108.3,111.1,91.43,92.13,0
2017-18,SAS,GSW,102.1,111.9,112.7,102.0,94.6,97.73,1
2017-18,WAS,TOR,109.7,110.8,111.4,116.4,98.08,95.16,1
2017-18,MIN,HOU,106.9,116.0,108.5,107.0,95.1,96.56,0
2017-18,UTA,OKC,104.3,106.1,102.9,106.9,98.36,98.5,1
2017-18,BOS,MIL,107.1,106.2,108.7,108.8,93.74,92.55,1
2017-18,GSW,SAS,112.7,102.0,102.1,111.9,97.73,94.6,1
2017-18,PHI,MIA,108.9,105.0,101.8,112.2,98.87,101.7,1
2017-18,CLE,IND,108.3,111.1,110.3,103.4,92.13,91.43,1
2017-18,HOU,MIN,108.5,107.0,106.9,116.0,96.56,95.1,1
2017-18,OKC,UTA,102.9,106.9,104.3,106.1,98.5,98.36,1
2017-18,TOR,WAS,111.4,116.4,109.7,110.8,95.16,98.08,1
2017-18,MIL,BOS,108.7,108.8,107.1,106.2,92.55,93.74,1
2017-18,IND,CLE,110.3,103.4,108.3,111.1,91.43,92.13,1
2017-18,UTA,OKC,104.3,106.1,102.9,106.9,98.36,98.5,1
2017-18,WAS,TOR,109.7,110.8,111.4,116.4,98.08,95.16,0
2017-18,BOS,MIL,107.1,106.2,108.7,108.8,93.74,92.55,1
2017-18,GSW,NOP,112.7,102.0,105.5,107.0,97.73,103.89,1
2017-18,CLE,IND,108.3,111.1,110.3,103.4,92.13,91.43,1
2017-18,HOU,UTA,108.5,107.0,104.3,106.1,96.56,98.36,1
2017-18,BOS,PHI,107.1,106.2,108.9,105.0,93.74,98.87,1
2017-18,GSW,NOP,112.7,102.0,105.5,107.0,97.73,103.89,1
2017-18,TOR,CLE,111.4,116.4,108.3,111.1,95.16,92.13,0
2017-18,HOU,UTA,108.5,107.0,104.3,106.1,96.56,98.36,0
2017-18,BOS,PHI,107.1,106.2,108.9,105.0,93.74,98.87,1
2017-18,TOR,CLE,111.4,116.4,108.3,111.1,95.16,92.13,0
2017-18,NOP,GSW,105.5,107.0,112.7,102.0,103.89,97.73,1
2017-18,UTA,HOU,104.3,106.1,108.5,107.0,98.36,96.56,0
2017-18,CLE,TOR,108.3,111.1,111.4,116.4,92.13,95.16,1
2017-18,PHI,BOS,108.9,105.0,107.1,106.2,98.87,93.74,0
2017-18,NOP,GSW,105.5,107.0,112.7,102.0,103.89,97.73,0
2017-18,UTA,HOU,104.3,106.1,108.5,107.0,98.36,96.56,0
2017-18,CLE,TOR,108.3,111.1,111.4,116.4,92.13,95.16,1
2017-18,PHI,BOS,108.9,105.0,107.1,106.2,98.87,93.74,1
2017-18,GSW,NOP,112.7,102.0,105.5,107.0,97.73,103.89,1
2017-18,HOU,UTA,108.5,107.0,104.3,106.1,96.56,98.36,1
2017-18,BOS,PHI,107.1,106.2,108.9,105.0,93.74,98.87,1
2017-18,BOS,CLE,107.1,106.2,108.3,111.1,93.74,92.13,1
2017-18,HOU,GSW,108.5,107.0,112.7,102.0,96.56,97.73,0
2017-18,BOS,CLE,107.1,106.2,108.3,111.1,93.74,92.13,1
2017-18,HOU,GSW,108.5,107.0,112.7,102.0,96.56,97.73,1
2017-18,CLE,BOS,108.3,111.1,107.1,106.2,92.13,93.74,1
2017-18,GSW,HOU,112.7,102.0,108.5,107.0,97.73,96.56,1
2017-18,CLE,BOS,108.3,111.1,107.1,106.2,92.13,93.74,1
2017-18,GSW,HOU,112.7,102.0,108.5,107.0,97.73,96.56,0
2017-18,BOS,CLE,107.1,106.2,108.3,111.1,93.74,92.13,1
2017-18,HOU,GSW,108.5,107.0,112.7,102.0,96.56,97.73,1
2017-18,CLE,BOS,108.3,111.1,107.1,106.2,92.13,93.74,1
2017-18,GSW,HOU,112.7,102.0,108.5,107.0,97.73,96.56,1
2017-18,BOS,CLE,107.1,106.2,108.3,111.1,93.74,92.13,0
2017-18,HOU,GSW,108.5,107.0,112.7,102.0,96.56,97.73,0
2017-18,GSW,CLE,112.7,102.0,108.3,111.1,97.73,92.13,1
2017-18,GSW,CLE,112.7,102.0,108.3,111.1,97.73,92.13,1
2017-18,CLE,GSW,108.3,111.1,112.7,102.0,92.13,97.73,0
2017-18,CLE,GSW,108.3,111.1,112.7,102.0,92.13,97.73,0
2018-19,DEN,SAS,113.3,111.1,110.7,113.1,93.68,93.14,0
2018-19,GSW,LAC,114.6,111.5,111.5,120.5,98.57,103.08,1
2018-19,PHI,BKN,109.1,106.0,105.7,115.9,99.63,105.5,0
2018-19,TOR,ORL,109.8,104.2,95.8,111.5,96.25,95.7,0
2018-19,BOS,IND,101.4,103.0,95.8,103.9,100.61,95.63,1
2018-19,HOU,UTA,110.5,107.4,99.2,108.5,97.26,98.6,1
2018-19,MIL,DET,110.7,101.9,96.8,120.5,100.57,101.13,1
2018-19,POR,OKC,109.5,110.6,104.4,109.9,97.15,100.9,1
2018-19,GSW,LAC,114.6,111.5,111.5,120.5,98.57,103.08,0
2018-19,PHI,BKN,109.1,106.0,105.7,115.9,99.63,105.5,1
2018-19,DEN,SAS,113.3,111.1,110.7,113.1,93.68,93.14,1
2018-19,POR,OKC,109.5,110.6,104.4,109.9,97.15,100.9,1
2018-19,TOR,ORL,109.8,104.2,95.8,111.5,96.25,95.7,1
2018-19,BOS,IND,101.4,103.0,95.8,103.9,100.61,95.63,1
2018-19,HOU,UTA,110.5,107.4,99.2,108.5,97.26,98.6,1
2018-19,MIL,DET,110.7,101.9,96.8,120.5,100.57,101.13,1
2018-19,LAC,GSW,111.5,120.5,114.6,111.5,103.08,98.57,0
2018-19,BKN,PHI,105.7,115.9,109.1,106.0,105.5,99.63,0
2018-19,SAS,DEN,110.7,113.1,113.3,111.1,93.14,93.68,1
2018-19,ORL,TOR,95.8,111.5,109.8,104.2,95.7,96.25,0
2018-19,IND,BOS,95.8,103.9,101.4,103.0,95.63,100.61,0
2018-19,OKC,POR,104.4,109.9,109.5,110.6,100.9,97.15,1
2018-19,BKN,PHI,105.7,115.9,109.1,106.0,105.5,99.63,0
